#{"t_start": 1788727982.4585605, "env_id": "None"}
r,l,t
10.915871,96,624.679346
7.843244,96,625.874914
9.984129,96,627.104076
10.106298,96,628.355488
13.028413,96,629.569869
5.053328,96,630.715039
11.652841,96,631.869791
16.910175,96,633.043756
9.566437,96,634.216416
11.17133,96,635.388064
8.209598,96,636.525737
6.644067,96,637.695869
17.938864,96,638.857599
14.524438,96,640.004849
17.716168,96,641.186258
10.306795,96,642.360152
13.874326,96,643.510963
15.79786,96,644.657403
7.971659,96,645.821186
14.27084,96,647.047805
18.85997,96,648.263792
12.136657,96,649.450436
9.147603,96,650.631729
14.137608,96,651.832032
13.023963,96,653.053905
10.632055,96,654.266066
13.299351,96,655.395813
14.221695,96,656.541592
16.252897,96,657.663035
10.390779,96,658.796053
10.169727,96,659.917786
7.460972,96,661.166769
9.606247,96,662.408913
12.811664,96,663.764884
13.672573,96,665.123609
9.823924,96,666.642004
18.801068,96,668.033702
15.27743,96,669.3474
14.885244,96,670.631823
11.003119,96,671.874232
12.081297,96,673.081128
9.129177,96,674.307586
12.650919,96,675.599451
7.60673,96,676.87555
11.376405,96,678.104479
12.152043,96,679.355295
14.209341,96,680.585338
10.195554,96,681.779302
10.398169,96,682.937657
9.838102,96,684.075981
11.671903,96,685.233682
12.302692,96,686.424886
9.319905,96,688.236642
16.409041,96,689.733593
8.928423,96,691.017165
15.661496,96,692.3551
10.995194,96,693.655437
9.519045,96,695.07105
8.59954,96,696.231526
14.450534,96,697.638674
9.946328,96,698.799351
2.259657,96,700.084182
10.860916,96,701.445889
10.467162,96,702.737237
11.221651,96,704.09187
8.8163,96,705.503005
11.631085,96,707.048667
15.368653,96,708.286952
11.331716,96,709.531891
9.523984,96,710.762389
12.401804,96,712.082327
7.256989,96,713.312263
10.210325,96,714.576505
9.691854,96,715.851929
11.988385,96,717.263739
11.140375,96,718.549052
16.353385,96,719.78951
9.395716,96,721.074389
14.691702,96,722.270118
10.375329,96,723.466853
15.313345,96,724.549815
9.907488,96,725.554606
14.475649,96,726.724728
15.410696,96,727.937205
15.202831,96,729.077211
8.999233,96,730.148026
13.061923,96,731.206742
16.407658,96,732.215711
7.374272,96,733.253716
14.491083,96,734.279963
7.841587,96,735.315123
17.85178,96,736.297867
12.503276,96,737.310351
11.545595,96,738.334624
15.409578,96,739.348691
10.820932,96,740.36401
10.884348,96,741.404891
9.230214,96,742.5643
8.657157,96,743.609642
15.480842,96,744.728613
12.055772,96,745.831455
10.186386,96,747.000076
13.511027,96,748.195751
13.201077,96,749.352721
6.819363,96,750.399257
15.764192,96,751.58624
11.464339,96,752.650394
17.268626,96,753.691128
11.222566,96,754.790869
17.274625,96,755.820985
1.246204,96,756.853323
10.929287,96,757.932461
9.554461,96,759.031662
11.462328,96,760.076149
13.413672,96,761.12642
6.941922,96,762.138955
13.588663,96,763.192715
10.308573,96,764.228751
11.209021,96,765.279796
8.070127,96,766.351285
12.070508,96,767.435154
16.594073,96,768.524187
13.155033,96,769.599019
10.208969,96,770.650183
13.637554,96,771.747685
10.776215,96,772.807427
9.727647,96,773.854136
8.344404,96,774.932418
16.818871,96,775.991713
10.855688,96,777.002489
12.941741,96,778.041026
9.577941,96,779.126695
10.809494,96,780.163615
16.319809,96,781.172428
9.097094,96,782.410115
16.879959,96,783.414798
13.270076,96,784.402401
15.888228,96,785.436397
9.054148,96,786.454309
11.004722,96,787.503719
17.26048,96,788.645948
14.114108,96,789.862502
13.577583,96,791.0674
10.835666,96,792.25682
11.203707,96,793.52272
14.115361,96,795.110662
10.348099,96,796.326374
11.993057,96,797.526269
9.595676,96,798.720133
13.624865,96,799.891257
9.358872,96,801.08792
9.754136,96,802.232254
11.904837,96,803.368355
14.31873,96,804.519715
12.173582,96,805.635419
7.777121,96,806.885137
9.175219,96,808.034472
10.256867,96,809.368334
10.778021,96,810.544328
9.69567,96,811.751014
10.157901,96,812.909847
11.167545,96,814.067119
15.741419,96,815.21942
9.953224,96,816.400029
12.203535,96,817.604263
8.223455,96,818.806358
