#{"t_start": 1788624353.1507077, "env_id": "None"}
r,l,t
-24.032389,96,95.990943
-28.767773,96,96.224039
-25.090387,96,96.541037
-27.042415,96,96.762038
-23.470393,96,96.993836
-25.409093,96,97.334296
-26.902619,96,97.597025
-26.173231,96,97.947881
-27.028358,96,98.225371
-30.681974,96,98.475569
-36.315056,96,98.882915
-28.528516,96,99.16091
-34.454918,96,99.443911
-33.327969,96,99.926004
-30.096766,96,100.210868
-25.374782,96,100.555911
-21.483534,96,100.784266
-31.017984,96,101.007002
-27.512569,96,101.316195
-28.737769,96,101.544255
-25.075358,96,101.760347
-27.631179,96,102.098989
-32.664022,96,102.358188
-26.955636,96,102.698253
-21.436958,96,102.941924
-43.808943,96,103.186142
-29.953865,96,103.585108
-18.507725,96,103.830829
-21.448144,96,104.128642
-27.955765,96,104.472047
-20.383083,96,104.715301
-21.782014,96,105.069067
-24.964064,96,105.338956
-31.236989,96,105.736647
-22.472228,96,106.05565
-40.951621,96,106.275647
-23.107839,96,106.503209
-35.030135,96,106.831629
-28.794548,96,107.071293
-22.212602,96,107.372902
-27.933685,96,107.648949
-24.527883,96,107.90995
-22.109281,96,108.247605
-22.970887,96,108.492954
-19.314823,96,108.739954
-26.699831,96,109.087953
-30.953288,96,109.332798
-24.003064,96,109.676098
-26.829685,96,109.917096
-26.614472,96,110.17625
-22.356745,96,110.518941
-26.411857,96,110.770942
-26.399171,96,111.015056
-33.98588,96,111.370166
-20.877522,96,111.615636
-20.405858,96,111.970271
-28.686551,96,112.243341
-28.356424,96,112.532165
-31.494956,96,112.912013
-30.37789,96,113.174147
-27.614384,96,113.418998
-25.810805,96,113.771943
-29.207261,96,114.016973
-30.019021,96,114.360123
-24.993632,96,114.607134
-27.658061,96,114.849053
-23.747536,96,115.208275
-27.549391,96,115.447275
-31.014905,96,115.727273
-20.465875,96,116.06597
-29.964001,96,116.307167
-32.932113,96,116.646167
-28.714175,96,116.893995
-22.842955,96,117.136995
-24.001144,96,117.481118
-27.979135,96,117.730963
-24.686921,96,117.969964
-26.452458,96,118.314592
-27.166624,96,118.559192
-28.389243,96,118.89903
-23.27933,96,119.144135
-32.511959,96,119.38603
-24.684595,96,119.729234
-24.220812,96,119.977235
-30.099595,96,120.220049
-26.37388,96,120.564468
-25.207618,96,120.803989
-29.705582,96,121.178865
-24.508874,96,121.415998
-32.724959,96,121.667584
-27.314531,96,122.008992
-23.670789,96,122.252312
-24.6875,96,122.504298
-24.322389,96,122.844921
-32.655251,96,123.09393
-21.131433,96,123.430914
-24.138348,96,123.680991
-30.950843,96,123.925497
-20.864475,96,124.272998
-21.974802,96,124.510995
-26.672829,96,124.779946
-25.593706,96,125.135944
-27.650333,96,125.360902
-21.550568,96,125.69303
-21.976646,96,125.911014
-32.234317,96,126.128012
-25.273492,96,126.437013
-30.924948,96,126.667107
-25.605169,96,126.889271
-32.170521,96,127.19899
-27.185034,96,127.401989
-20.595122,96,127.701989
-28.170646,96,127.94299
-24.4064,96,128.177104
-20.632655,96,128.52125
-24.868082,96,128.717251
-23.723488,96,128.919958
-24.203234,96,129.252959
-20.287216,96,129.479958
-24.953302,96,129.802104
-21.553193,96,130.016102
-22.187535,96,130.284925
-34.009249,96,130.674926
-22.647023,96,130.909926
-27.926183,96,131.145942
-22.429818,96,131.49794
-26.33832,96,131.760937
-22.416986,96,132.108938
-26.408414,96,132.32515
-27.776929,96,132.631151
-30.352956,96,132.963148
-26.951017,96,133.16994
-35.679892,96,133.39017
-23.295349,96,133.696977
-33.100148,96,133.911936
-24.926566,96,134.205932
-25.699338,96,134.42608
-28.974399,96,134.686025
-32.24635,96,135.131079
-20.122045,96,135.387087
-29.880552,96,135.69205
-19.20512,96,136.026048
-24.253489,96,136.295564
-28.78736,96,136.59199
-32.936217,96,136.85499
-19.676032,96,137.11498
-23.568062,96,137.548139
-20.338988,96,137.791744
-25.395521,96,138.010967
-23.714947,96,138.306697
-27.138328,96,138.526937
-19.192917,96,138.822935
-30.423603,96,139.035942
-21.587914,96,139.250351
-17.561506,96,139.577202
-23.486732,96,139.824014
-26.809109,96,140.070015
-25.387067,96,140.400429
-26.53449,96,140.637024
-24.698057,96,140.973011
-24.715063,96,141.211133
-20.991573,96,141.453132
-27.789871,96,141.795367
-23.782852,96,142.073031
-21.246713,96,142.333921
-23.775157,96,142.69392
-20.131857,96,142.941891
-22.004298,96,143.302755
-30.040398,96,143.546921
-27.627458,96,143.800006
-21.54796,96,144.167119
-25.837888,96,144.433029
-27.455055,96,144.72908
-24.221694,96,145.135079
-25.881544,96,145.400082
-23.846064,96,145.761657
-27.712847,96,146.029355
-22.421273,96,146.284117
-24.975766,96,146.642203
-25.784067,96,146.911002
-32.819361,96,147.163002
-17.663066,96,147.509006
-28.505226,96,147.781162
-23.030485,96,148.157179
-24.791275,96,148.409966
-22.774473,96,148.676975
-26.309129,96,149.055967
-20.792394,96,149.303332
-24.02447,96,149.563276
-22.48365,96,149.911053
-27.071583,96,150.191049
-27.366577,96,150.530203
-23.539784,96,150.772203
-25.235239,96,151.013063
-24.840588,96,151.371065
-20.141909,96,151.630641
-23.89294,96,151.880307
-26.341191,96,152.233995
-22.507768,96,152.482996
-23.445244,96,152.827995
-18.711739,96,153.076003
-31.955608,96,153.325723
-19.660552,96,153.678928
-24.710472,96,153.95106
-25.573845,96,154.199021
-19.504435,96,154.537021
-23.693584,96,154.77909
-22.424805,96,155.150181
-25.138381,96,155.413974
-26.270337,96,155.659056
-17.967889,96,156.001033
-25.73929,96,156.249973
-29.298416,96,156.530971
-17.616073,96,156.884971
-23.54115,96,157.137183
-22.137799,96,157.497468
-25.016385,96,157.74292
-17.853836,96,157.98992
-24.960753,96,158.332694
-19.843059,96,158.584241
-30.742409,96,158.83227
-24.921941,96,159.217726
-23.533069,96,159.495395
-25.741497,96,159.858218
-21.307592,96,160.110016
-28.444703,96,160.358929
-25.028143,96,160.736993
-19.182752,96,160.980987
-23.325558,96,161.230017
-28.217021,96,161.56502
-22.685285,96,161.807083
-26.284763,96,162.140025
-19.551406,96,162.383336
-18.235171,96,162.632024
-25.32213,96,162.972266
-18.784407,96,163.225401
-22.739491,96,163.50505
-25.62184,96,163.839955
-33.307492,96,164.083127
-23.109765,96,164.419235
-19.634243,96,164.666326
-22.777451,96,164.912166
-22.59717,96,165.251522
-24.545366,96,165.502133
-19.362015,96,165.740292
-22.300829,96,166.078341
-24.168094,96,166.316616
-19.880706,96,166.661443
-19.414606,96,166.902963
-20.564853,96,167.156963
-24.698718,96,167.498974
-22.65871,96,167.740584
-20.123029,96,167.982992
-21.00651,96,168.325382
-19.550589,96,168.569181
-22.575673,96,168.906218
-23.690227,96,169.152222
-23.680903,96,169.40109
-20.47616,96,169.741078
-23.154642,96,169.984079
-27.487459,96,170.241415
-21.029855,96,170.604999
-19.897105,96,170.849941
-20.781178,96,171.195151
-20.443635,96,171.448151
-21.312761,96,171.694211
-24.062807,96,172.037417
-25.149666,96,172.283671
-20.589619,96,172.535003
-22.500777,96,172.871003
-25.338347,96,173.116003
-22.454105,96,173.477709
-20.872127,96,173.751286
-24.229373,96,174.013993
-23.284927,96,174.394003
-21.975038,96,174.641413
-23.684939,96,174.87997
-23.84339,96,175.227176
-26.529753,96,175.46895
-21.68662,96,175.81515
-22.017099,96,176.07015
-22.841859,96,176.308276
-24.529631,96,176.648756
-28.288695,96,176.89389
-21.161707,96,177.144009
-21.547008,96,177.482023
-21.897752,96,177.727581
-18.166891,96,178.068997
-22.201318,96,178.309578
-25.477026,96,178.553141
-19.23287,96,178.895973
-23.150041,96,179.138973
-19.914866,96,179.383314
-23.06448,96,179.720137
-21.66665,96,179.972426
-27.27362,96,180.314328
-23.061235,96,180.561186
-21.710669,96,180.803188
-26.61774,96,181.147971
-26.333659,96,181.401967
-20.954836,96,181.643328
-21.839869,96,181.983593
-23.936355,96,182.226656
-18.884184,96,182.566102
-17.105918,96,182.804222
-19.251845,96,183.064306
-18.562282,96,183.403976
-24.977112,96,183.646608
-26.101325,96,183.891282
-20.708264,96,184.234424
-19.915377,96,184.47796
-27.763505,96,184.813169
-21.986686,96,185.065294
-23.237261,96,185.303293
-25.841815,96,185.646227
-18.541801,96,185.891968
-22.056554,96,186.135325
-26.391092,96,186.47896
-20.505864,96,186.727959
-22.778453,96,187.065239
-23.607366,96,187.310129
-21.357681,96,187.55313
-27.36938,96,187.896615
-28.116477,96,188.138381
-24.723958,96,188.385435
-26.251288,96,188.71804
-20.770876,96,188.972038
-23.841894,96,189.312241
-18.485283,96,189.558243
-17.794251,96,189.798058
-23.03488,96,190.139545
-26.017306,96,190.384268
-22.981059,96,190.630028
-23.403403,96,190.973029
-22.403001,96,191.216279
-20.804997,96,191.559278
-19.810968,96,191.799031
-17.544984,96,192.05003
-20.263525,96,192.384032
-16.570669,96,192.635996
-21.696554,96,192.875997
-19.937778,96,193.219627
-23.890212,96,193.469471
-23.724016,96,193.808283
-22.125141,96,194.071539
-16.278122,96,194.347024
-23.980502,96,194.735516
-23.997541,96,195.085491
-29.325665,96,195.376055
-22.681913,96,195.710213
-29.135063,96,195.984213
-24.293817,96,196.344084
-19.020583,96,196.582069
-23.227967,96,196.840111
-23.735193,96,197.198279
-23.135495,96,197.484735
-24.035379,96,197.748092
-27.915253,96,198.119498
-20.451956,96,198.418202
-22.18245,96,198.809029
-24.246924,96,199.065029
-19.686999,96,199.315999
-19.349658,96,199.676193
-24.585995,96,199.929778
-18.364198,96,200.181403
-19.136627,96,200.520052
-23.013448,96,200.796052
-24.167823,96,201.172054
-21.827351,96,201.451052
-23.596515,96,201.709214
-22.30357,96,202.110567
-24.055059,96,202.367421
-22.3431,96,202.613647
-24.430415,96,202.964186
-24.587621,96,203.210009
-23.500484,96,203.571139
-23.363139,96,203.829411
-20.539929,96,204.078101
-19.571042,96,204.42547
-26.226118,96,204.669127
-19.747789,96,204.920153
-26.1725,96,205.272093
-29.222745,96,205.523242
-23.995939,96,205.85821
-27.604978,96,206.108166
-24.513911,96,206.362048
-26.068848,96,206.728186
-23.732705,96,206.97769
-23.065925,96,207.241169
-27.953725,96,207.632173
-20.758523,96,207.926301
-14.316168,96,208.284159
-22.80609,96,208.573338
-20.370151,96,208.845802
-25.636041,96,209.202322
-18.639623,96,209.446407
-23.292671,96,209.694458
-22.968601,96,210.02824
-24.515894,96,210.270531
-28.858387,96,210.667655
-22.225749,96,210.907491
-24.569364,96,211.17401
-17.333074,96,211.531431
-21.773649,96,211.805321
-20.423134,96,212.058024
-19.562388,96,212.424141
-21.214065,96,212.675079
-21.712721,96,213.011153
-18.451214,96,213.268422
-17.441612,96,213.515514
-23.872599,96,213.86728
-21.722738,96,214.107696
-26.901782,96,214.353359
-24.47955,96,214.697142
-21.761496,96,214.941141
-21.277078,96,215.296251
-19.62997,96,215.560399
-25.300896,96,215.826036
-25.088584,96,216.191954
-25.090469,96,216.474299
-19.493338,96,216.734299
-24.274981,96,217.141557
-22.954589,96,217.39317
-22.314062,96,217.738211
-16.271374,96,218.003689
-20.042664,96,218.266414
-23.966162,96,218.629159
-23.930369,96,218.88316
-17.989722,96,219.161159
-20.944861,96,219.565743
-21.144497,96,219.829189
-16.762176,96,220.192199
-22.190274,96,220.462105
-22.419104,96,220.79552
-23.386856,96,221.232266
-23.666951,96,221.433565
-16.496605,96,221.636042
-19.462959,96,221.93512
-22.832531,96,222.147125
-24.73543,96,222.426286
-20.779781,96,222.62717
-22.802374,96,222.822494
-17.92026,96,223.096748
-18.485876,96,223.295247
-27.646102,96,223.493145
-19.915129,96,223.76611
-29.361543,96,223.959111
-21.677229,96,224.233243
-21.939629,96,224.430527
-19.592326,96,224.629946
-25.471529,96,224.904647
-22.534491,96,225.123129
-20.658639,96,225.338651
-22.070883,96,225.643899
-23.722536,96,225.862295
