#{"t_start": 1788730050.692823, "env_id": "None"}
r,l,t
-19.760148,96,45.432773
-22.540069,96,45.559387
-20.658534,96,45.626404
-22.151006,96,45.704
-23.184222,96,45.820148
-20.273603,96,45.886581
-22.985016,96,46.008185
-24.382872,96,46.075533
-23.504291,96,46.141684
-22.462478,96,46.259461
-25.437006,96,46.328799
-25.002666,96,46.399369
-20.356336,96,46.51874
-23.332177,96,46.587555
-29.129893,96,46.709627
-25.782879,96,46.778208
-20.54535,96,46.852688
-24.478258,96,47.116327
-22.140211,96,47.184287
-25.570754,96,47.252136
-22.63816,96,47.371544
-25.979037,96,47.438207
-27.460365,96,47.586365
-20.7716,96,47.665606
-21.951061,96,47.7347
-23.563385,96,47.854137
-23.610662,96,47.925614
-27.146515,96,47.993315
-23.146123,96,48.110844
-27.028592,96,48.177091
-22.841705,96,48.293293
-20.118399,96,48.362965
-23.756886,96,48.432245
-24.104418,96,48.555016
-22.48476,96,48.620767
-23.353397,96,48.689279
-18.375735,96,48.805263
-22.448553,96,48.871461
-25.551253,96,48.996471
-28.281519,96,49.069556
-22.107642,96,49.13764
-18.905046,96,49.252841
-23.345139,96,49.3196
-23.201637,96,49.388118
-21.940399,96,49.510576
-25.058189,96,49.580223
-25.585318,96,49.702366
-28.713324,96,49.77356
-22.264885,96,49.843561
-24.409765,96,49.965566
-20.927855,96,50.034002
-21.034366,96,50.101689
-20.717919,96,50.224463
-22.265246,96,50.317756
-21.821752,96,50.437343
-22.834279,96,50.50729
-20.046475,96,50.576079
-24.510701,96,50.691861
-23.724749,96,50.769407
-25.513769,96,50.835066
-21.780106,96,50.956422
-24.961953,96,51.023282
-22.347495,96,51.138548
-23.248331,96,51.203496
-27.638195,96,51.2708
-24.693029,96,51.386778
-19.39011,96,51.45419
-17.18823,96,51.52973
-23.809475,96,51.649036
-20.772465,96,51.71825
-22.264391,96,51.835027
-22.820692,96,51.902506
-21.541186,96,51.974716
-20.003334,96,52.094961
-29.030848,96,52.160274
-28.84252,96,52.227261
-17.659837,96,52.34752
-22.46434,96,52.4143
-25.147614,96,52.532851
-25.836872,96,52.602796
-30.336192,96,52.669785
-23.511646,96,52.786025
-18.00354,96,52.852381
-21.962964,96,52.923458
-23.269874,96,53.040636
-26.72356,96,53.107031
-26.969603,96,53.222249
-19.969917,96,53.290105
-20.884046,96,53.362921
-29.937825,96,53.479616
-30.937498,96,53.551877
-16.524083,96,53.62105
-26.011927,96,53.741351
-22.124079,96,53.8068
-23.467851,96,53.928985
-20.716979,96,53.996358
-24.651827,96,54.066477
-21.904498,96,54.181957
-21.392423,96,54.249764
-24.749367,96,54.316133
-20.630407,96,54.435626
-22.337414,96,54.506133
-16.327596,96,54.623773
-28.71355,96,54.69179
-23.022246,96,54.760047
-21.85667,96,54.878056
-25.352016,96,54.949912
